Catalyst,Imine,Thiol,Product,ee
35CF3Ph,1,A,1_A,75
35CF3Ph,1,B,1_B,40
35CF3Ph,1,C,1_C,32
35CF3Ph,1,D,1_D,83
35CF3Ph,1,E,1_E,81
35CF3Ph,2,A,2_A,83
35CF3Ph,2,B,2_B,60
35CF3Ph,2,C,2_C,52
35CF3Ph,2,D,2_D,72
35CF3Ph,2,E,2_E,79
35CF3Ph,3,A,3_A,75
35CF3Ph,3,B,3_B,37
35CF3Ph,3,C,3_C,18
35CF3Ph,3,D,3_D,81
35CF3Ph,3,E,3_E,82
35CF3Ph,4,A,4_A,72
35CF3Ph,4,B,4_B,25
35CF3Ph,4,C,4_C,33
35CF3Ph,4,D,4_D,73
35CF3Ph,4,E,4_E,73
35CF3Ph,5,A,5_A,80
35CF3Ph,5,B,5_B,21
35CF3Ph,5,C,5_C,41
35CF3Ph,5,D,5_D,63
35CF3Ph,5,E,5_E,68
145_i,1,A,1_A,90
145_i,1,B,1_B,78
145_i,1,C,1_C,70
145_i,1,D,1_D,94
145_i,1,E,1_E,94
145_i,2,A,2_A,86
145_i,2,B,2_B,76
145_i,2,C,2_C,84
145_i,2,D,2_D,96
145_i,2,E,2_E,88
145_i,3,A,3_A,82
145_i,3,B,3_B,60
145_i,3,C,3_C,82
145_i,3,D,3_D,84
145_i,3,E,3_E,80
145_i,4,A,4_A,90
145_i,4,B,4_B,56
145_i,4,C,4_C,72
145_i,4,D,4_D,92
145_i,4,E,4_E,94
145_i,5,A,5_A,90
145_i,5,B,5_B,70
145_i,5,C,5_C,86
145_i,5,D,5_D,92
145_i,5,E,5_E,92
H,1,A,1_A,4
H,1,B,1_B,-14
H,1,C,1_C,-12
H,1,D,1_D,4
H,1,E,1_E,4
H,2,A,2_A,4
H,2,B,2_B,-14
H,2,C,2_C,-12
H,2,D,2_D,6
H,2,E,2_E,0
H,3,A,3_A,-2
H,3,B,3_B,-18
H,3,C,3_C,-16
H,3,D,3_D,0
H,3,E,3_E,2
H,4,A,4_A,-14
H,4,B,4_B,-10
H,4,C,4_C,0
H,4,D,4_D,2
H,4,E,4_E,-6
H,5,A,5_A,-4
H,5,B,5_B,-10
H,5,C,5_C,-10
H,5,D,5_D,0
H,5,E,5_E,-10
242_vi,1,A,1_A,34
242_vi,1,B,1_B,30
242_vi,1,C,1_C,32
242_vi,1,D,1_D,44
242_vi,1,E,1_E,28
242_vi,2,A,2_A,30
242_vi,2,B,2_B,-12
242_vi,2,C,2_C,10
242_vi,2,D,2_D,22
242_vi,2,E,2_E,24
242_vi,3,A,3_A,14
242_vi,3,B,3_B,-6
242_vi,3,C,3_C,56
242_vi,3,D,3_D,20
242_vi,3,E,3_E,16
242_vi,4,A,4_A,42
242_vi,4,B,4_B,-20
242_vi,4,C,4_C,2
242_vi,4,D,4_D,16
242_vi,4,E,4_E,14
242_vi,5,A,5_A,26
242_vi,5,B,5_B,4
242_vi,5,C,5_C,0
242_vi,5,D,5_D,40
242_vi,5,E,5_E,18
202_i,1,A,1_A,32
202_i,1,B,1_B,-12
202_i,1,C,1_C,-12
202_i,1,D,1_D,30
202_i,1,E,1_E,20
202_i,2,A,2_A,40
202_i,2,B,2_B,-22
202_i,2,C,2_C,-10
202_i,2,D,2_D,22
202_i,2,E,2_E,24
202_i,3,A,3_A,14
202_i,3,B,3_B,-16
202_i,3,C,3_C,56
202_i,3,D,3_D,20
202_i,3,E,3_E,16
202_i,4,A,4_A,42
202_i,4,B,4_B,-20
202_i,4,C,4_C,2
202_i,4,D,4_D,16
202_i,4,E,4_E,14
202_i,5,A,5_A,30
202_i,5,B,5_B,-34
202_i,5,C,5_C,-20
202_i,5,D,5_D,36
202_i,5,E,5_E,18
2OEt5Me,1,A,1_A,90
2OEt5Me,1,B,1_B,56
2OEt5Me,1,C,1_C,62
2OEt5Me,1,D,1_D,74
2OEt5Me,1,E,1_E,92
2OEt5Me,2,A,2_A,82
2OEt5Me,2,B,2_B,62
2OEt5Me,2,C,2_C,84
2OEt5Me,2,D,2_D,80
2OEt5Me,2,E,2_E,78
2OEt5Me,3,A,3_A,86
2OEt5Me,3,B,3_B,60
2OEt5Me,3,C,3_C,90
2OEt5Me,3,D,3_D,90
2OEt5Me,3,E,3_E,94
2OEt5Me,4,A,4_A,84
2OEt5Me,4,B,4_B,54
2OEt5Me,4,C,4_C,68
2OEt5Me,4,D,4_D,80
2OEt5Me,4,E,4_E,72
2OEt5Me,5,A,5_A,88
2OEt5Me,5,B,5_B,76
2OEt5Me,5,C,5_C,76
2OEt5Me,5,D,5_D,74
2OEt5Me,5,E,5_E,80
166_i,1,A,1_A,98
166_i,1,B,1_B,92
166_i,1,C,1_C,86
166_i,1,D,1_D,94
166_i,1,E,1_E,96
166_i,2,A,2_A,98
166_i,2,B,2_B,86
166_i,2,C,2_C,96
166_i,2,D,2_D,98
166_i,2,E,2_E,92
166_i,3,A,3_A,94
166_i,3,B,3_B,88
166_i,3,C,3_C,90
166_i,3,D,3_D,98
166_i,3,E,3_E,98
166_i,4,A,4_A,98
166_i,4,B,4_B,80
166_i,4,C,4_C,90
166_i,4,D,4_D,98
166_i,4,E,4_E,98
166_i,5,A,5_A,98
166_i,5,B,5_B,76
166_i,5,C,5_C,94
166_i,5,D,5_D,98
166_i,5,E,5_E,98
246Ph,1,A,1_A,98
246Ph,1,B,1_B,88
246Ph,1,C,1_C,88
246Ph,1,D,1_D,94
246Ph,1,E,1_E,94
246Ph,2,A,2_A,94
246Ph,2,B,2_B,86
246Ph,2,C,2_C,96
246Ph,2,D,2_D,96
246Ph,2,E,2_E,96
246Ph,3,A,3_A,98
246Ph,3,B,3_B,90
246Ph,3,C,3_C,90
246Ph,3,D,3_D,98
246Ph,3,E,3_E,98
246Ph,4,A,4_A,98
246Ph,4,B,4_B,80
246Ph,4,C,4_C,84
246Ph,4,D,4_D,98
246Ph,4,E,4_E,94
246Ph,5,A,5_A,98
246Ph,5,B,5_B,72
246Ph,5,C,5_C,90
246Ph,5,D,5_D,96
246Ph,5,E,5_E,98
4tol,1,A,1_A,78
4tol,1,B,1_B,50
4tol,1,C,1_C,60
4tol,1,D,1_D,80
4tol,1,E,1_E,84
4tol,2,A,2_A,68
4tol,2,B,2_B,40
4tol,2,C,2_C,60
4tol,2,D,2_D,74
4tol,2,E,2_E,80
4tol,3,A,3_A,74
4tol,3,B,3_B,68
4tol,3,C,3_C,72
4tol,3,D,3_D,74
4tol,3,E,3_E,74
4tol,4,A,4_A,84
4tol,4,B,4_B,20
4tol,4,C,4_C,44
4tol,4,D,4_D,62
4tol,4,E,4_E,74
4tol,5,A,5_A,76
4tol,5,B,5_B,50
4tol,5,C,5_C,58
4tol,5,D,5_D,80
4tol,5,E,5_E,70
7_i,1,A,1_A,74
7_i,1,B,1_B,44
7_i,1,C,1_C,72
7_i,1,D,1_D,84
7_i,1,E,1_E,86
7_i,2,A,2_A,90
7_i,2,B,2_B,50
7_i,2,C,2_C,74
7_i,2,D,2_D,96
7_i,2,E,2_E,98
7_i,3,A,3_A,74
7_i,3,B,3_B,14
7_i,3,C,3_C,56
7_i,3,D,3_D,78
7_i,3,E,3_E,82
7_i,4,A,4_A,90
7_i,4,B,4_B,50
7_i,4,C,4_C,90
7_i,4,D,4_D,96
7_i,4,E,4_E,98
7_i,5,A,5_A,90
7_i,5,B,5_B,36
7_i,5,C,5_C,60
7_i,5,D,5_D,84
7_i,5,E,5_E,96
