reaction_handle,catalyst_id,imine_id,thiol_id,product_id,selectivity_ee_percent,selectivity_ddGact_kcal\,Avg ee R,Avg ee S,React hndl,Plt 1: R ee,Plt 1:  S ee,Plate 2: R ee,Plt 2: R ee,Plt 3: R ee,Plt 3: S ee,Diff of avg.
202_i_3_E,202_i,3,E,3_E,16,0.191286085,58,42,202_i_3_E,59,42,58,43,58,42,16
202_i_4_A,202_i,4,A,4_A,42,0.530633915,71,29,202_i_4_A,72,29,71,30,71,29,42
202_i_4_B,202_i,4,B,4_B,-20,-0.240291904,40,60,202_i_4_B,38,62,42,58,40,60,-20
202_i_4_C,202_i,4,C,4_C,2,0.023708472,51,49,202_i_4_C,49,51,53,47,51,49,2
202_i_4_D,202_i,4,D,4_D,16,0.191286085,58,42,202_i_4_D,59,41,57,43,58,42,16
202_i_4_E,202_i,4,E,4_E,14,0.167034225,57,43,202_i_4_E,59,41,55,45,57,43,14
202_i_5_A,202_i,5,A,5_A,30,0.366862912,65,35,202_i_5_A,66,34,64,36,65,35,30
202_i_5_B,202_i,5,B,5_B,-34,-0.419693662,33,67,202_i_5_B,35,65,31,69,33,67,-34
202_i_5_C,202_i,5,C,5_C,-20,-0.240291904,40,60,202_i_5_C,41,59,39,61,40,60,-20
202_i_5_D,202_i,5,D,5_D,36,0.44670986,68,32,202_i_5_D,69,32,68,33,68,32,36
202_i_5_E,202_i,5,E,5_E,18,0.215697804,59,41,202_i_5_E,60,40,58,42,59,41,18
205_i_1_A,205_i,1,A,1_A,44,0.559718885,72,28,205_i_1_A,72,28,72,28,72,28,44
205_i_1_B,205_i,1,B,1_B,-30,-0.366862912,35,65,205_i_1_B,33,67,37,63,35,65,-30
205_i_1_C,205_i,1,C,1_C,-10,-0.118924027,45,55,205_i_1_C,44,56,46,54,45,55,-10
205_i_1_D,205_i,1,D,1_D,44,0.559718885,72,28,205_i_1_D,73,28,72,29,72,28,44
205_i_1_E,205_i,1,E,1_E,28,0.340979638,64,36,205_i_1_E,65,36,64,37,64,36,28
205_i_2_A,205_i,2,A,2_A,52,0.683115634,76,24,205_i_2_A,77,24,76,25,76,24,52
205_i_2_B,205_i,2,B,2_B,-20,-0.240291904,40,60,205_i_2_B,41,60,40,61,40,60,-20
205_i_2_C,205_i,2,C,2_C,-6,-0.071201455,47,53,205_i_2_C,45,55,49,51,47,53,-6
205_i_2_D,205_i,2,D,2_D,30,0.366862912,65,35,205_i_2_D,63,37,67,33,65,35,30
205_i_2_E,205_i,2,E,2_E,44,0.559718885,72,28,205_i_2_E,71,29,73,27,72,28,44
205_i_3_A,205_i,3,A,3_A,50,0.651073627,75,25,205_i_3_A,76,25,75,26,75,25,50
205_i_3_B,205_i,3,B,3_B,-24,-0.290122313,38,62,205_i_3_B,39,62,38,63,38,62,-24
205_i_3_C,205_i,3,C,3_C,-18,-0.215697804,41,59,205_i_3_C,42,59,41,60,41,59,-18
205_i_3_D,205_i,3,D,3_D,50,0.651073627,75,25,205_i_3_D,76,25,75,26,75,25,50
205_i_3_E,205_i,3,E,3_E,42,0.530633915,71,29,205_i_3_E,69,31,73,27,71,29,42
205_i_4_A,205_i,4,A,4_A,48,0.619875227,74,26,205_i_4_A,72,28,76,24,74,26,48
205_i_4_B,205_i,4,B,4_B,-14,-0.167034225,43,57,205_i_4_B,44,57,43,58,43,57,-14
205_i_4_C,205_i,4,C,4_C,-26,-0.315409117,37,63,205_i_4_C,38,63,37,64,37,63,-26
205_i_4_D,205_i,4,D,4_D,46,0.589445917,73,27,205_i_4_D,74,27,73,28,73,27,46
205_i_4_E,205_i,4,E,4_E,22,0.265091872,61,39,205_i_4_E,62,39,61,40,61,39,22
205_i_5_A,205_i,5,A,5_A,46,0.589445917,73,27,205_i_5_A,71,29,75,25,73,27,46
205_i_5_B,205_i,5,B,5_B,-20,-0.240291904,40,60,205_i_5_B,38,62,42,58,40,60,-20
205_i_5_C,205_i,5,C,5_C,-16,-0.191286085,42,58,205_i_5_C,41,59,43,57,42,58,-16
205_i_5_D,205_i,5,D,5_D,38,0.474176905,69,31,205_i_5_D,70,31,69,32,69,31,38
205_i_5_E,205_i,5,E,5_E,48,0.619875227,74,26,205_i_5_E,75,26,74,27,74,26,48
207_i_1_A,207_i,1,A,1_A,40,0.50195963,70,30,207_i_1_A,71,30,70,31,70,30,40
207_i_1_B,207_i,1,B,1_B,24,0.290020142,62,38,207_i_1_B,63,38,62,39,62,38,24
207_i_1_C,207_i,1,C,1_C,32,0.392951447,66,34,207_i_1_C,64,36,68,32,66,34,32
207_i_1_D,207_i,1,D,1_D,44,0.559521771,72,28,207_i_1_D,70,30,74,26,72,28,44
207_i_1_E,207_i,1,E,1_E,46,0.589238334,73,27,207_i_1_E,74,27,73,28,73,27,46
207_i_2_A,207_i,2,A,2_A,60,0.82127412,80,20,207_i_2_A,81,20,80,21,80,20,60
207_i_2_B,207_i,2,B,2_B,22,0.264998516,61,39,207_i_2_B,62,39,61,40,61,39,22
207_i_2_C,207_i,2,C,2_C,30,0.366733715,65,35,207_i_2_C,66,35,65,36,65,35,30
207_i_2_D,207_i,2,D,2_D,50,0.650844341,75,25,207_i_2_D,73,27,77,23,75,25,50
207_i_2_E,207_i,2,E,2_E,60,0.82127412,80,20,207_i_2_E,78,22,82,18,80,20,60
207_i_3_A,207_i,3,A,3_A,56,0.749811199,78,22,207_i_3_A,77,23,79,21,78,22,56
207_i_3_B,207_i,3,B,3_B,24,0.290020142,62,38,207_i_3_B,63,38,62,39,62,38,24
207_i_3_C,207_i,3,C,3_C,32,0.392951447,66,34,207_i_3_C,67,34,66,35,66,34,32
207_i_3_D,207_i,3,D,3_D,50,0.650844341,75,25,207_i_3_D,76,25,75,26,75,25,50
207_i_3_E,207_i,3,E,3_E,56,0.749811199,78,22,207_i_3_E,79,22,78,23,78,22,56
207_i_4_A,207_i,4,A,4_A,58,0.78491768,79,21,207_i_4_A,77,23,81,19,79,21,58
207_i_4_B,207_i,4,B,4_B,18,0.215621843,59,41,207_i_4_B,57,43,61,39,59,41,18
207_i_4_C,207_i,4,C,4_C,38,0.474009916,69,31,207_i_4_C,70,31,69,32,69,31,38
207_i_4_D,207_i,4,D,4_D,56,0.749811199,78,22,207_i_4_D,76,24,80,20,78,22,56
207_i_4_E,207_i,4,E,4_E,54,0.715832618,77,23,207_i_4_E,75,25,79,21,77,23,54
207_i_5_A,207_i,5,A,5_A,56,0.749811199,78,22,207_i_5_A,79,21,77,23,78,22,56
207_i_5_B,207_i,5,B,5_B,20,0.240207281,60,40,207_i_5_B,62,38,58,42,60,40,20
207_i_5_C,207_i,5,C,5_C,28,0.340859557,64,36,207_i_5_C,66,34,62,38,64,36,28
207_i_5_D,207_i,5,D,5_D,46,0.589238334,73,27,207_i_5_D,74,26,72,28,73,27,46
207_i_5_E,207_i,5,E,5_E,52,0.682875064,76,24,207_i_5_E,76,24,76,24,76,24,52
210_i_1_A,210_i,1,A,1_A,30,0.366862912,65,35,210_i_1_A,67,33,63,37,65,35,30
210_i_1_B,210_i,1,B,1_B,-10,-0.118924027,45,55,210_i_1_B,46,54,44,56,45,55,-10
210_i_1_C,210_i,1,C,1_C,-12,-0.142920534,44,56,210_i_1_C,45,56,44,57,44,56,-12
210_i_1_D,210_i,1,D,1_D,30,0.366862912,65,35,210_i_1_D,67,33,63,37,65,35,30
210_i_1_E,210_i,1,E,1_E,25,0.302731997,62.5,37.5,210_i_1_E,63,38,63,38,63,38,25
210_i_2_A,210_i,2,A,2_A,41,0.516314959,70.5,29.5,210_i_2_A,72,29,70,31,71,30,41
210_i_2_B,210_i,2,B,2_B,-18,-0.215697804,41,59,210_i_2_B,42,58,40,60,41,59,-18
210_i_2_C,210_i,2,C,2_C,-7,-0.083104501,46.5,53.5,210_i_2_C,46,55,48,53,47,54,-7
210_i_2_D,210_i,2,D,2_D,20,0.240291904,60,40,210_i_2_D,60,40,60,40,60,40,20
210_i_2_E,210_i,2,E,2_E,22,0.265091872,61,39,210_i_2_E,62,38,60,40,61,39,22
210_i_3_A,210_i,3,A,3_A,16,0.191286085,58,42,210_i_3_A,57,43,59,41,58,42,16
210_i_3_B,210_i,3,B,3_B,-16,-0.191286085,42,58,210_i_3_B,43,57,41,59,42,58,-16
210_i_3_C,210_i,3,C,3_C,-4,-0.04743593,48,52,210_i_3_C,46,54,50,50,48,52,-4
210_i_3_D,210_i,3,D,3_D,22,0.265091872,61,39,210_i_3_D,60,40,62,38,61,39,22
210_i_3_E,210_i,3,E,3_E,14,0.167034225,57,43,210_i_3_E,58,43,57,44,57,43,14
210_i_4_A,210_i,4,A,4_A,42,0.530633915,71,29,210_i_4_A,72,29,71,30,71,29,42
210_i_4_B,210_i,4,B,4_B,-16,-0.191286085,42,58,210_i_4_B,40,60,44,56,42,58,-16
210_i_4_C,210_i,4,C,4_C,2,0.023708472,51,49,210_i_4_C,49,51,53,47,51,49,2
210_i_4_D,210_i,4,D,4_D,12,0.142920534,56,44,210_i_4_D,57,43,55,45,56,44,12
210_i_4_E,210_i,4,E,4_E,10,0.118924027,55,45,210_i_4_E,56,45,55,46,55,45,10
210_i_5_A,210_i,5,A,5_A,26,0.315409117,63,37,210_i_5_A,65,35,61,39,63,37,26
210_i_5_B,210_i,5,B,5_B,-22,-0.265091872,39,61,210_i_5_B,40,60,38,62,39,61,-22
210_i_5_C,210_i,5,C,5_C,-14,-0.167034225,43,57,210_i_5_C,44,57,43,58,43,57,-14
210_i_5_D,210_i,5,D,5_D,32,0.393089879,66,34,210_i_5_D,67,33,65,35,66,34,32
210_i_5_E,210_i,5,E,5_E,20,0.240291904,60,40,210_i_5_E,60,40,60,40,60,40,20
223_i_1_A,223_i,1,A,1_A,60,0.821563446,80,20,223_i_1_A,82,18,78,22,80,20,60
223_i_1_B,223_i,1,B,1_B,34,0.419693662,67,33,223_i_1_B,68,32,66,34,67,33,34
223_i_1_C,223_i,1,C,1_C,36,0.44670986,68,32,223_i_1_C,69,32,68,33,68,32,36
223_i_1_D,223_i,1,D,1_D,56,0.75007535,78,22,223_i_1_D,80,20,76,24,78,22,56
223_i_1_E,223_i,1,E,1_E,60,0.821563446,80,20,223_i_1_E,80,20,80,20,80,20,60
223_i_2_A,223_i,2,A,2_A,56,0.75007535,78,22,223_i_2_A,79,21,77,23,78,22,56
223_i_2_B,223_i,2,B,2_B,24,0.290122313,62,38,223_i_2_B,63,37,61,39,62,38,24
223_i_2_C,223_i,2,C,2_C,30,0.366862912,65,35,223_i_2_C,64,36,66,34,65,35,30
223_i_2_D,223_i,2,D,2_D,62,0.859323525,81,19,223_i_2_D,81,19,81,19,81,19,62
223_i_2_E,223_i,2,E,2_E,60,0.821563446,80,20,223_i_2_E,81,19,79,21,80,20,60
223_i_3_A,223_i,3,A,3_A,50,0.651073627,75,25,223_i_3_A,74,26,76,24,75,25,50
223_i_3_B,223_i,3,B,3_B,34,0.419693662,67,33,223_i_3_B,68,32,66,34,67,33,34
223_i_3_C,223_i,3,C,3_C,28,0.340979638,64,36,223_i_3_C,62,38,66,34,64,36,28
223_i_3_D,223_i,3,D,3_D,60,0.821563446,80,20,223_i_3_D,79,21,81,19,80,20,60
223_i_3_E,223_i,3,E,3_E,62,0.859323525,81,19,223_i_3_E,82,19,81,20,81,19,62
223_i_4_A,223_i,4,A,4_A,50,0.651073627,75,25,223_i_4_A,76,25,75,26,75,25,50
223_i_4_B,223_i,4,B,4_B,22,0.265091872,61,39,223_i_4_B,59,41,63,37,61,39,22
223_i_4_C,223_i,4,C,4_C,20,0.240291904,60,40,223_i_4_C,58,42,62,38,60,40,20
223_i_4_D,223_i,4,D,4_D,62,0.859323525,81,19,223_i_4_D,82,18,80,20,81,19,62
223_i_4_E,223_i,4,E,4_E,60,0.821563446,80,20,223_i_4_E,81,20,80,21,80,20,60
223_i_5_A,223_i,5,A,5_A,70,1.027981402,85,15,223_i_5_A,87,13,83,17,85,15,70
223_i_5_B,223_i,5,B,5_B,18,0.215697804,59,41,223_i_5_B,60,40,58,42,59,41,18
223_i_5_C,223_i,5,C,5_C,20,0.240291904,60,40,223_i_5_C,61,39,59,41,60,40,20
223_i_5_D,223_i,5,D,5_D,64,0.89863719,82,18,223_i_5_D,81,19,83,17,82,18,64
223_i_5_E,223_i,5,E,5_E,66,0.939694654,83,17,223_i_5_E,84,16,82,18,83,17,66
229_i_1_A,229_i,1,A,1_A,86,1.532416977,93,7,229_i_1_A,91,9,95,5,93,7,86
229_i_1_B,229_i,1,B,1_B,40,0.50195963,70,30,229_i_1_B,69,31,71,29,70,30,40
229_i_1_C,229_i,1,C,1_C,42,0.530447043,71,29,229_i_1_C,72,29,71,30,71,29,42
229_i_1_D,229_i,1,D,1_D,72,1.075421434,86,14,229_i_1_D,87,14,86,15,86,14,72
229_i_1_E,229_i,1,E,1_E,78,1.238605308,89,11,229_i_1_E,87,13,91,9,89,11,78
229_i_2_A,229_i,2,A,2_A,82,1.370652975,91,9,229_i_2_A,89,11,93,7,91,9,82
229_i_2_B,229_i,2,B,2_B,82,1.370652975,91,9,229_i_2_B,92,8,90,10,91,9,82
229_i_2_C,229_i,2,C,2_C,46,0.589238334,73,27,229_i_2_C,74,27,73,28,73,27,46
229_i_2_D,229_i,2,D,2_D,50,0.650844341,75,25,229_i_2_D,77,23,73,27,75,25,50
229_i_2_E,229_i,2,E,2_E,82,1.370652975,91,9,229_i_2_E,92,8,90,10,91,9,82
229_i_3_A,229_i,3,A,3_A,82,1.370652975,91,9,229_i_3_A,92,9,91,10,91,9,82
229_i_3_B,229_i,3,B,3_B,44,0.559521771,72,28,229_i_3_B,73,27,71,29,72,28,44
229_i_3_C,229_i,3,C,3_C,50,0.650844341,75,25,229_i_3_C,75,25,75,25,75,25,50
229_i_3_D,229_i,3,D,3_D,76,1.180363548,88,12,229_i_3_D,86,14,90,10,88,12,76
229_i_3_E,229_i,3,E,3_E,76,1.180363548,88,12,229_i_3_E,87,13,89,11,88,12,76
229_i_4_A,229_i,4,A,4_A,86,1.532416977,93,7,229_i_4_A,94,7,93,8,93,7,86
229_i_4_B,229_i,4,B,4_B,40,0.50195963,70,30,229_i_4_B,71,30,70,31,70,30,40
229_i_4_C,229_i,4,C,4_C,48,0.619656928,74,26,229_i_4_C,72,28,76,24,74,26,48
229_i_4_D,229_i,4,D,4_D,84,1.446905122,92,8,229_i_4_D,90,10,94,6,92,8,84
229_i_4_E,229_i,4,E,4_E,82,1.370652975,91,9,229_i_4_E,92,8,90,10,91,9,82
229_i_5_A,229_i,5,A,5_A,78,1.238605308,89,11,229_i_5_A,90,11,89,12,89,11,78
229_i_5_B,229_i,5,B,5_B,42,0.530447043,71,29,229_i_5_B,73,27,69,31,71,29,42
229_i_5_C,229_i,5,C,5_C,44,0.559521771,72,28,229_i_5_C,73,27,71,29,72,28,44
229_i_5_D,229_i,5,D,5_D,76,1.180363548,88,12,229_i_5_D,89,12,88,13,88,12,76
229_i_5_E,229_i,5,E,5_E,80,1.301688683,90,10,229_i_5_E,91,9,89,11,90,10,80
229_vi_1_A,229_vi,1,A,1_A,82,1.370652975,91,9,229_vi_1_A,91,9,91,9,91,9,82
229_vi_1_B,229_vi,1,B,1_B,44,0.559521771,72,28,229_vi_1_B,74,26,70,30,72,28,44
229_vi_1_C,229_vi,1,C,1_C,44,0.559521771,72,28,229_vi_1_C,70,30,74,26,72,28,44
229_vi_1_D,229_vi,1,D,1_D,76,1.180363548,88,12,229_vi_1_D,89,11,87,13,88,12,76
229_vi_1_E,229_vi,1,E,1_E,76,1.180363548,88,12,229_vi_1_E,89,12,88,13,88,12,76
229_vi_2_A,229_vi,2,A,2_A,80,1.301688683,90,10,229_vi_2_A,92,8,88,12,90,10,80
229_vi_2_B,229_vi,2,B,2_B,80,1.301688683,90,10,229_vi_2_B,91,9,89,11,90,10,80
229_vi_2_C,229_vi,2,C,2_C,40,0.50195963,70,30,229_vi_2_C,71,30,70,31,70,30,40
229_vi_2_D,229_vi,2,D,2_D,48,0.619656928,74,26,229_vi_2_D,75,25,73,27,74,26,48
229_vi_2_E,229_vi,2,E,2_E,80,1.301688683,90,10,229_vi_2_E,89,11,91,9,90,10,80
229_vi_3_A,229_vi,3,A,3_A,82,1.370652975,91,9,229_vi_3_A,92,9,91,10,91,9,82
229_vi_3_B,229_vi,3,B,3_B,46,0.589238334,73,27,229_vi_3_B,75,25,71,29,73,27,46
229_vi_3_C,229_vi,3,C,3_C,54,0.715832618,77,23,229_vi_3_C,78,22,76,24,77,23,54
229_vi_3_D,229_vi,3,D,3_D,78,1.238605308,89,11,229_vi_3_D,90,11,89,12,89,11,78
229_vi_3_E,229_vi,3,E,3_E,74,1.126173688,87,13,229_vi_3_E,88,13,87,14,87,13,74
229_vi_4_A,229_vi,4,A,4_A,84,1.446905122,92,8,229_vi_4_A,90,10,94,6,92,8,84
229_vi_4_B,229_vi,4,B,4_B,38,0.474009916,69,31,229_vi_4_B,67,33,71,29,69,31,38
229_vi_4_C,229_vi,4,C,4_C,48,0.619656928,74,26,229_vi_4_C,75,25,73,27,74,26,48
229_vi_4_D,229_vi,4,D,4_D,84,1.446905122,92,8,229_vi_4_D,93,8,92,9,92,8,84
229_vi_4_E,229_vi,4,E,4_E,82,1.370652975,91,9,229_vi_4_E,93,7,89,11,91,9,82
229_vi_5_A,229_vi,5,A,5_A,80,1.301688683,90,10,229_vi_5_A,91,9,89,11,90,10,80
229_vi_5_B,229_vi,5,B,5_B,40,0.50195963,70,30,229_vi_5_B,71,29,69,31,70,30,40
229_vi_5_C,229_vi,5,C,5_C,44,0.559521771,72,28,229_vi_5_C,71,29,73,27,72,28,44
229_vi_5_D,229_vi,5,D,5_D,78,1.238605308,89,11,229_vi_5_D,90,10,88,12,89,11,78
229_vi_5_E,229_vi,5,E,5_E,82,1.370652975,91,9,229_vi_5_E,89,11,93,7,91,9,82
230_i_1_A,230_i,1,A,1_A,80,1.301688683,90,10,230_i_1_A,89,11,91,9,90,10,80
230_i_1_B,230_i,1,B,1_B,36,0.446552544,68,32,230_i_1_B,69,32,68,33,68,32,36
230_i_1_C,230_i,1,C,1_C,44,0.559521771,72,28,230_i_1_C,73,28,72,29,72,28,44
230_i_1_D,230_i,1,D,1_D,76,1.180363548,88,12,230_i_1_D,86,14,90,10,88,12,76
230_i_1_E,230_i,1,E,1_E,78,1.238605308,89,11,230_i_1_E,87,13,91,9,89,11,78
230_i_2_A,230_i,2,A,2_A,84,1.446905122,92,8,230_i_2_A,93,7,91,9,92,8,84
230_i_2_B,230_i,2,B,2_B,60,0.82127412,80,20,230_i_2_B,81,20,80,21,80,20,60
230_i_2_C,230_i,2,C,2_C,60,0.82127412,80,20,230_i_2_C,82,18,78,22,80,20,60
230_i_2_D,230_i,2,D,2_D,86,1.532416977,93,7,230_i_2_D,94,6,92,8,93,7,86
230_i_2_E,230_i,2,E,2_E,90,1.744356465,95,5,230_i_2_E,96,5,95,6,95,5,90
230_i_3_A,230_i,3,A,3_A,86,1.532416977,93,7,230_i_3_A,94,6,92,8,93,7,86
230_i_3_B,230_i,3,B,3_B,62,0.859020901,81,19,230_i_3_B,81,19,81,19,81,19,62
230_i_3_C,230_i,3,C,3_C,60,0.82127412,80,20,230_i_3_C,78,22,82,18,80,20,60
230_i_3_D,230_i,3,D,3_D,80,1.301688683,90,10,230_i_3_D,89,11,91,9,90,10,80
230_i_3_E,230_i,3,E,3_E,80,1.301688683,90,10,230_i_3_E,91,10,90,11,90,10,80
230_i_4_A,230_i,4,A,4_A,86,1.532416977,93,7,230_i_4_A,94,7,93,8,93,7,86
230_i_4_B,230_i,4,B,4_B,40,0.50195963,70,30,230_i_4_B,68,32,72,28,70,30,40
230_i_4_C,230_i,4,C,4_C,66,0.939363725,83,17,230_i_4_C,81,19,85,15,83,17,66
230_i_4_D,230_i,4,D,4_D,84,1.446905122,92,8,230_i_4_D,93,7,91,9,92,8,84
230_i_4_E,230_i,4,E,4_E,86,1.532416977,93,7,230_i_4_E,94,7,93,8,93,7,86
230_i_5_A,230_i,5,A,5_A,78,1.238605308,89,11,230_i_5_A,91,9,87,13,89,11,78
230_i_5_B,230_i,5,B,5_B,44,0.559521771,72,28,230_i_5_B,73,28,72,29,72,28,44
230_i_5_C,230_i,5,C,5_C,54,0.715832618,77,23,230_i_5_C,75,25,79,21,77,23,54
230_i_5_D,230_i,5,D,5_D,86,1.532416977,93,7,230_i_5_D,91,9,95,5,93,7,86
230_i_5_E,230_i,5,E,5_E,84,1.446905122,92,8,230_i_5_E,93,7,91,9,92,8,84
242_i_1_A,242_i,1,A,1_A,34,0.419693662,67,33,242_i_1_A,68,33,67,34,67,33,34
242_i_1_B,242_i,1,B,1_B,30,0.366862912,65,35,242_i_1_B,67,33,63,37,65,35,30
242_i_1_C,242_i,1,C,1_C,32,0.393089879,66,34,242_i_1_C,67,33,65,35,66,34,32
242_i_1_D,242_i,1,D,1_D,44,0.559718885,72,28,242_i_1_D,73,27,71,29,72,28,44
242_i_1_E,242_i,1,E,1_E,28,0.340979638,64,36,242_i_1_E,63,37,65,35,64,36,28
242_i_2_A,242_i,2,A,2_A,30,0.366862912,65,35,242_i_2_A,66,34,64,36,65,35,30
242_i_2_B,242_i,2,B,2_B,-12,-0.142920534,44,56,242_i_2_B,42,58,46,54,44,56,-12
242_i_2_C,242_i,2,C,2_C,10,0.118924027,55,45,242_i_2_C,54,46,56,44,55,45,10
242_i_2_D,242_i,2,D,2_D,22,0.265091872,61,39,242_i_2_D,62,39,61,40,61,39,22
242_i_2_E,242_i,2,E,2_E,24,0.290122313,62,38,242_i_2_E,63,38,62,39,62,38,24
242_i_3_A,242_i,3,A,3_A,14,0.167034225,57,43,242_i_3_A,55,45,59,41,57,43,14
242_i_3_B,242_i,3,B,3_B,-6,-0.071201455,47,53,242_i_3_B,45,55,49,51,47,53,-6
242_i_3_C,242_i,3,C,3_C,56,0.75007535,78,22,242_i_3_C,79,21,77,23,78,22,56
242_i_3_D,242_i,3,D,3_D,20,0.240291904,60,40,242_i_3_D,61,40,60,41,60,40,20
242_i_3_E,242_i,3,E,3_E,16,0.191286085,58,42,242_i_3_E,60,40,56,44,58,42,16
242_i_4_A,242_i,4,A,4_A,42,0.530633915,71,29,242_i_4_A,72,28,70,30,71,29,42
242_i_4_B,242_i,4,B,4_B,-20,-0.240291904,40,60,242_i_4_B,41,60,40,61,40,60,-20
242_i_4_C,242_i,4,C,4_C,2,0.023708472,51,49,242_i_4_C,52,48,50,50,51,49,2
242_i_4_D,242_i,4,D,4_D,16,0.191286085,58,42,242_i_4_D,58,42,58,42,58,42,16
242_i_4_E,242_i,4,E,4_E,14,0.167034225,57,43,242_i_4_E,55,45,59,41,57,43,14
242_i_5_A,242_i,5,A,5_A,26,0.315409117,63,37,242_i_5_A,62,38,64,36,63,37,26
242_i_5_B,242_i,5,B,5_B,4,0.04743593,52,48,242_i_5_B,53,48,52,49,52,48,4
242_i_5_C,242_i,5,C,5_C,0,0,50,50,242_i_5_C,51,50,50,51,50,50,0
242_i_5_D,242_i,5,D,5_D,40,0.502136465,70,30,242_i_5_D,68,32,72,28,70,30,40
242_i_5_E,242_i,5,E,5_E,18,0.215697804,59,41,242_i_5_E,57,43,61,39,59,41,18
242_vi_1_A,242_vi,1,A,1_A,32,0.392951447,66,34,242_vi_1_A,67,33,65,35,66,34,32
