reaction_handle,catalyst_id,imine_id,thiol_id,product_id,selectivity_ee_percent,selectivity_ddGact_kcal
1_i_1_A,1_i,1,A,1_A,76,1.180363548
1_i_1_B,1_i,1,B,1_B,40,0.50195963
1_i_1_C,1_i,1,C,1_C,50,0.650844341
1_i_1_D,1_i,1,D,1_D,78,1.238605308
1_i_1_E,1_i,1,E,1_E,80,1.301688683
1_i_2_A,1_i,2,A,2_A,76,1.180363548
1_i_2_B,1_i,2,B,2_B,40,0.50195963
1_i_2_C,1_i,2,C,2_C,54,0.715832618
1_i_2_D,1_i,2,D,2_D,74,1.126173688
1_i_2_E,1_i,2,E,2_E,78,1.238605308
1_i_3_A,1_i,3,A,3_A,74,1.126173688
1_i_3_B,1_i,3,B,3_B,38,0.474009916
1_i_3_C,1_i,3,C,3_C,48,0.619656928
1_i_3_D,1_i,3,D,3_D,74,1.126173688
1_i_3_E,1_i,3,E,3_E,74,1.126173688
1_i_4_A,1_i,4,A,4_A,78,1.238605308
1_i_4_B,1_i,4,B,4_B,20,0.240207281
1_i_4_C,1_i,4,C,4_C,44,0.559521771
1_i_4_D,1_i,4,D,4_D,72,1.075421434
1_i_4_E,1_i,4,E,4_E,74,1.126173688
1_i_5_A,1_i,5,A,5_A,76,1.180363548
1_i_5_B,1_i,5,B,5_B,32,0.392951447
1_i_5_C,1_i,5,C,5_C,44,0.559521771
1_i_5_D,1_i,5,D,5_D,80,1.301688683
1_i_5_E,1_i,5,E,5_E,70,1.027619382
144_i_1_A,144_i,1,A,1_A,86,1.532416977
144_i_1_B,144_i,1,B,1_B,68,0.982374193
144_i_1_C,144_i,1,C,1_C,72,1.075421434
144_i_1_D,144_i,1,D,1_D,82,1.370652975
144_i_1_E,144_i,1,E,1_E,88,1.630075694
144_i_2_A,144_i,2,A,2_A,84,1.446905122
144_i_2_B,144_i,2,B,2_B,72,1.075421434
144_i_2_C,144_i,2,C,2_C,60,0.82127412
144_i_2_D,144_i,2,D,2_D,82,1.370652975
144_i_2_E,144_i,2,E,2_E,84,1.446905122
144_i_3_A,144_i,3,A,3_A,78,1.238605308
144_i_3_B,144_i,3,B,3_B,60,0.82127412
144_i_3_C,144_i,3,C,3_C,64,0.898320721
144_i_3_D,144_i,3,D,3_D,86,1.532416977
144_i_3_E,144_i,3,E,3_E,88,1.630075694
144_i_4_A,144_i,4,A,4_A,90,1.744356465
144_i_4_B,144_i,4,B,4_B,62,0.859020901
144_i_4_C,144_i,4,C,4_C,70,1.027619382
144_i_4_D,144_i,4,D,4_D,82,1.370652975
144_i_4_E,144_i,4,E,4_E,84,1.446905122
144_i_5_A,144_i,5,A,5_A,88,1.630075694
144_i_5_B,144_i,5,B,5_B,60,0.82127412
144_i_5_C,144_i,5,C,5_C,64,0.898320721
144_i_5_D,144_i,5,D,5_D,84,1.446905122
144_i_5_E,144_i,5,E,5_E,86,1.532416977
145_i_1_A,145_i,1,A,1_A,90,1.744970984
145_i_1_B,145_i,1,B,1_B,78,1.239041656
145_i_1_C,145_i,1,C,1_C,70,1.027981402
145_i_1_D,145_i,1,D,1_D,94,2.060049943
145_i_1_E,145_i,1,E,1_E,94,2.060049943
145_i_2_A,145_i,2,A,2_A,86,1.532956832
145_i_2_B,145_i,2,B,2_B,76,1.180779378
145_i_2_C,145_i,2,C,2_C,84,1.447414852
145_i_2_D,145_i,2,D,2_D,96,2.306420185
145_i_2_E,145_i,2,E,2_E,88,1.630649953
145_i_3_A,145_i,3,A,3_A,82,1.371135842
145_i_3_B,145_i,3,B,3_B,60,0.821563446
145_i_3_C,145_i,3,C,3_C,82,1.371135842
145_i_3_D,145_i,3,D,3_D,84,1.447414852
145_i_3_E,145_i,3,E,3_E,80,1.302147255
145_i_4_A,145_i,4,A,4_A,90,1.744970984
145_i_4_B,145_i,4,B,4_B,56,0.75007535
145_i_4_C,145_i,4,C,4_C,72,1.075800294
145_i_4_D,145_i,4,D,4_D,92,1.883418797
145_i_4_E,145_i,4,E,4_E,94,2.060049943
145_i_5_A,145_i,5,A,5_A,90,1.744970984
145_i_5_B,145_i,5,B,5_B,70,1.027981402
145_i_5_C,145_i,5,C,5_C,86,1.532956832
145_i_5_D,145_i,5,D,5_D,92,1.883418797
145_i_5_E,145_i,5,E,5_E,92,1.883418797
147_i_1_A,147_i,1,A,1_A,99,3.136985821
147_i_1_B,147_i,1,B,1_B,90,1.744970984
147_i_1_C,147_i,1,C,1_C,92,1.883418797
147_i_1_D,147_i,1,D,1_D,99,3.136985821
147_i_1_E,147_i,1,E,1_E,99,3.136985821
147_i_2_A,147_i,2,A,2_A,94,2.060049943
147_i_2_B,147_i,2,B,2_B,86,1.532956832
147_i_2_C,147_i,2,C,2_C,86,1.532956832
147_i_2_D,147_i,2,D,2_D,90,1.744970984
147_i_2_E,147_i,2,E,2_E,94,2.060049943
147_i_3_A,147_i,3,A,3_A,99,3.136985821
147_i_3_B,147_i,3,B,3_B,88,1.630649953
147_i_3_C,147_i,3,C,3_C,90,1.744970984
147_i_3_D,147_i,3,D,3_D,94,2.060049943
147_i_3_E,147_i,3,E,3_E,96,2.306420185
147_i_4_A,147_i,4,A,4_A,98,2.723218536
147_i_4_B,147_i,4,B,4_B,80,1.302147255
147_i_4_C,147_i,4,C,4_C,90,1.744970984
147_i_4_D,147_i,4,D,4_D,99,3.136985821
147_i_4_E,147_i,4,E,4_E,96,2.306420185
147_i_5_A,147_i,5,A,5_A,96,2.306420185
147_i_5_B,147_i,5,B,5_B,80,1.302147255
147_i_5_C,147_i,5,C,5_C,90,1.744970984
147_i_5_D,147_i,5,D,5_D,99,3.136985821
147_i_5_E,147_i,5,E,5_E,96,2.306420185
157_i_1_A,157_i,1,A,1_A,76,1.180363548
157_i_1_B,157_i,1,B,1_B,52,0.682875064
157_i_1_C,157_i,1,C,1_C,52,0.682875064
157_i_1_D,157_i,1,D,1_D,82,1.370652975
157_i_1_E,157_i,1,E,1_E,74,1.126173688
157_i_2_A,157_i,2,A,2_A,82,1.370652975
157_i_2_B,157_i,2,B,2_B,36,0.446552544
157_i_2_C,157_i,2,C,2_C,36,0.446552544
157_i_2_D,157_i,2,D,2_D,82,1.370652975
157_i_2_E,157_i,2,E,2_E,80,1.301688683
157_i_3_A,157_i,3,A,3_A,82,1.370652975
157_i_3_B,157_i,3,B,3_B,32,0.392951447
157_i_3_C,157_i,3,C,3_C,42,0.530447043
157_i_3_D,157_i,3,D,3_D,80,1.301688683
157_i_3_E,157_i,3,E,3_E,74,1.126173688
157_i_4_A,157_i,4,A,4_A,80,1.301688683
157_i_4_B,157_i,4,B,4_B,34,0.41954586
157_i_4_C,157_i,4,C,4_C,44,0.559521771
157_i_4_D,157_i,4,D,4_D,76,1.180363548
157_i_4_E,157_i,4,E,4_E,74,1.126173688
157_i_5_A,157_i,5,A,5_A,72,1.075421434
157_i_5_B,157_i,5,B,5_B,26,0.31529804
157_i_5_C,157_i,5,C,5_C,42,0.530447043
157_i_5_D,157_i,5,D,5_D,72,1.075421434
157_i_5_E,157_i,5,E,5_E,72,1.075421434
166_i_1_A,166_i,1,A,1_A,99,3.136985821
166_i_1_B,166_i,1,B,1_B,92,1.883418797
166_i_1_C,166_i,1,C,1_C,86,1.532956832
166_i_1_D,166_i,1,D,1_D,94,2.060049943
166_i_1_E,166_i,1,E,1_E,96,2.30642018
166_i_2_A,166_i,2,A,2_A,99,3.136985821
166_i_2_B,166_i,2,B,2_B,86,1.532956832
166_i_2_C,166_i,2,C,2_C,96,2.306420185
166_i_2_D,166_i,2,D,2_D,99,3.136985821
166_i_2_E,166_i,2,E,2_E,94,2.306420185
166_i_3_A,166_i,3,A,3_A,94,2.060049943
166_i_3_B,166_i,3,B,3_B,88,1.630649953
166_i_3_C,166_i,3,C,3_C,90,1.744970984
166_i_3_D,166_i,3,D,3_D,99,3.136985821
166_i_3_E,166_i,3,E,3_E,99,3.136985821
166_i_4_A,166_i,4,A,4_A,99,3.136985821
166_i_4_B,166_i,4,B,4_B,80,1.302147255
166_i_4_C,166_i,4,C,4_C,90,1.744970984
166_i_4_D,166_i,4,D,4_D,99,3.136985821
166_i_4_E,166_i,4,E,4_E,99,3.136985821
166_i_5_A,166_i,5,A,5_A,99,3.136985821
166_i_5_B,166_i,5,B,5_B,76,1.44741485
166_i_5_C,166_i,5,C,5_C,94,2.060049943
166_i_5_D,166_i,5,D,5_D,99,3.136985821
166_i_5_E,166_i,5,E,5_E,99,3.136985821
182_i_1_A,182_i,1,A,1_A,84,1.446905122
182_i_1_B,182_i,1,B,1_B,40,0.50195963
182_i_1_C,182_i,1,C,1_C,42,0.530447043
182_i_1_D,182_i,1,D,1_D,80,1.301688683
182_i_1_E,182_i,1,E,1_E,80,1.301688683
182_i_2_A,182_i,2,A,2_A,84,1.446905122
182_i_2_B,182_i,2,B,2_B,56,0.749811199
182_i_2_C,182_i,2,C,2_C,60,0.82127412
182_i_2_D,182_i,2,D,2_D,82,1.370652975
182_i_2_E,182_i,2,E,2_E,86,1.532416977
182_i_3_A,182_i,3,A,3_A,86,1.532416977
182_i_3_B,182_i,3,B,3_B,60,0.82127412
182_i_3_C,182_i,3,C,3_C,62,0.859020901
182_i_3_D,182_i,3,D,3_D,84,1.446905122
182_i_3_E,182_i,3,E,3_E,80,1.301688683
182_i_4_A,182_i,4,A,4_A,84,1.446905122
182_i_4_B,182_i,4,B,4_B,36,0.446552544
182_i_4_C,182_i,4,C,4_C,60,0.82127412
182_i_4_D,182_i,4,D,4_D,82,1.370652975
182_i_4_E,182_i,4,E,4_E,84,1.446905122
182_i_5_A,182_i,5,A,5_A,78,1.238605308
182_i_5_B,182_i,5,B,5_B,48,0.619656928
182_i_5_C,182_i,5,C,5_C,54,0.715832618
182_i_5_D,182_i,5,D,5_D,82,1.370652975
182_i_5_E,182_i,5,E,5_E,82,1.370652975
202_i_1_A,202_i,1,A,1_A,32,0.393089879
202_i_1_B,202_i,1,B,1_B,-12,-0.142920534
202_i_1_C,202_i,1,C,1_C,-12,-0.142920534
202_i_1_D,202_i,1,D,1_D,30,0.366862912
202_i_1_E,202_i,1,E,1_E,20,0.240291904
202_i_2_A,202_i,2,A,2_A,40,0.502136465
202_i_2_B,202_i,2,B,2_B,-22,-0.265091872
202_i_2_C,202_i,2,C,2_C,-10,-0.118924027
202_i_2_D,202_i,2,D,2_D,22,0.265091872
202_i_2_E,202_i,2,E,2_E,24,0.290122313
202_i_3_A,202_i,3,A,3_A,14,0.167034225
202_i_3_B,202_i,3,B,3_B,-16,-0.191286085
202_i_3_C,202_i,3,C,3_C,56,0.75007535
202_i_3_D,202_i,3,D,3_D,20,0.240291904
202_i_3_E,202_i,3,E,3_E,16,0.191286085
202_i_4_A,202_i,4,A,4_A,42,0.530633915
202_i_4_B,202_i,4,B,4_B,-20,-0.240291904
202_i_4_C,202_i,4,C,4_C,2,0.023708472
202_i_4_D,202_i,4,D,4_D,16,0.191286085
202_i_4_E,202_i,4,E,4_E,14,0.167034225
202_i_5_A,202_i,5,A,5_A,30,0.366862912
202_i_5_B,202_i,5,B,5_B,-34,-0.419693662
202_i_5_C,202_i,5,C,5_C,-20,-0.240291904
202_i_5_D,202_i,5,D,5_D,36,0.44670986
202_i_5_E,202_i,5,E,5_E,18,0.215697804
205_i_1_A,205_i,1,A,1_A,44,0.559718885
205_i_1_B,205_i,1,B,1_B,-30,-0.366862912
205_i_1_C,205_i,1,C,1_C,-10,-0.118924027
205_i_1_D,205_i,1,D,1_D,44,0.559718885
205_i_1_E,205_i,1,E,1_E,28,0.340979638
205_i_2_A,205_i,2,A,2_A,52,0.683115634
205_i_2_B,205_i,2,B,2_B,-20,-0.240291904
205_i_2_C,205_i,2,C,2_C,-6,-0.071201455
205_i_2_D,205_i,2,D,2_D,30,0.366862912
205_i_2_E,205_i,2,E,2_E,44,0.559718885
205_i_3_A,205_i,3,A,3_A,50,0.651073627
205_i_3_B,205_i,3,B,3_B,-24,-0.290122313
205_i_3_C,205_i,3,C,3_C,-18,-0.215697804
205_i_3_D,205_i,3,D,3_D,50,0.651073627
205_i_3_E,205_i,3,E,3_E,42,0.530633915
205_i_4_A,205_i,4,A,4_A,48,0.619875227
205_i_4_B,205_i,4,B,4_B,-14,-0.167034225
205_i_4_C,205_i,4,C,4_C,-26,-0.315409117
205_i_4_D,205_i,4,D,4_D,46,0.589445917
205_i_4_E,205_i,4,E,4_E,22,0.265091872
205_i_5_A,205_i,5,A,5_A,46,0.589445917
205_i_5_B,205_i,5,B,5_B,-20,-0.240291904
205_i_5_C,205_i,5,C,5_C,-16,-0.191286085
205_i_5_D,205_i,5,D,5_D,38,0.474176905
205_i_5_E,205_i,5,E,5_E,48,0.619875227
207_i_1_A,207_i,1,A,1_A,40,0.50195963
207_i_1_B,207_i,1,B,1_B,24,0.290020142
207_i_1_C,207_i,1,C,1_C,32,0.392951447
207_i_1_D,207_i,1,D,1_D,44,0.559521771
207_i_1_E,207_i,1,E,1_E,46,0.589238334
207_i_2_A,207_i,2,A,2_A,60,0.82127412
207_i_2_B,207_i,2,B,2_B,22,0.264998516
207_i_2_C,207_i,2,C,2_C,30,0.366733715
207_i_2_D,207_i,2,D,2_D,50,0.650844341
207_i_2_E,207_i,2,E,2_E,60,0.82127412
207_i_3_A,207_i,3,A,3_A,56,0.749811199
207_i_3_B,207_i,3,B,3_B,24,0.290020142
207_i_3_C,207_i,3,C,3_C,32,0.392951447
207_i_3_D,207_i,3,D,3_D,50,0.650844341
207_i_3_E,207_i,3,E,3_E,56,0.749811199
207_i_4_A,207_i,4,A,4_A,58,0.78491768
207_i_4_B,207_i,4,B,4_B,18,0.215621843
207_i_4_C,207_i,4,C,4_C,38,0.474009916
207_i_4_D,207_i,4,D,4_D,56,0.749811199
207_i_4_E,207_i,4,E,4_E,54,0.715832618
207_i_5_A,207_i,5,A,5_A,56,0.749811199
207_i_5_B,207_i,5,B,5_B,20,0.240207281
207_i_5_C,207_i,5,C,5_C,28,0.340859557
207_i_5_D,207_i,5,D,5_D,46,0.589238334
207_i_5_E,207_i,5,E,5_E,52,0.682875064
210_i_1_A,210_i,1,A,1_A,30,0.366862912
210_i_1_B,210_i,1,B,1_B,-10,-0.118924027
210_i_1_C,210_i,1,C,1_C,-12,-0.142920534
210_i_1_D,210_i,1,D,1_D,30,0.366862912
210_i_1_E,210_i,1,E,1_E,25,0.302731997
210_i_2_A,210_i,2,A,2_A,41,0.516314959
210_i_2_B,210_i,2,B,2_B,-18,-0.215697804
210_i_2_C,210_i,2,C,2_C,-7,-0.083104501
210_i_2_D,210_i,2,D,2_D,20,0.240291904
210_i_2_E,210_i,2,E,2_E,22,0.265091872
210_i_3_A,210_i,3,A,3_A,16,0.191286085
210_i_3_B,210_i,3,B,3_B,-16,-0.191286085
210_i_3_C,210_i,3,C,3_C,-4,-0.04743593
210_i_3_D,210_i,3,D,3_D,22,0.265091872
210_i_3_E,210_i,3,E,3_E,14,0.167034225
210_i_4_A,210_i,4,A,4_A,42,0.530633915
210_i_4_B,210_i,4,B,4_B,-16,-0.191286085
210_i_4_C,210_i,4,C,4_C,2,0.023708472
210_i_4_D,210_i,4,D,4_D,12,0.142920534
210_i_4_E,210_i,4,E,4_E,10,0.118924027
210_i_5_A,210_i,5,A,5_A,26,0.315409117
210_i_5_B,210_i,5,B,5_B,-22,-0.265091872
210_i_5_C,210_i,5,C,5_C,-14,-0.167034225
210_i_5_D,210_i,5,D,5_D,32,0.393089879
210_i_5_E,210_i,5,E,5_E,20,0.240291904
223_i_1_A,223_i,1,A,1_A,60,0.821563446
223_i_1_B,223_i,1,B,1_B,34,0.419693662
223_i_1_C,223_i,1,C,1_C,36,0.44670986
223_i_1_D,223_i,1,D,1_D,56,0.75007535
223_i_1_E,223_i,1,E,1_E,60,0.821563446
223_i_2_A,223_i,2,A,2_A,56,0.75007535
223_i_2_B,223_i,2,B,2_B,24,0.290122313
223_i_2_C,223_i,2,C,2_C,30,0.366862912
223_i_2_D,223_i,2,D,2_D,62,0.859323525
223_i_2_E,223_i,2,E,2_E,60,0.821563446
223_i_3_A,223_i,3,A,3_A,50,0.651073627
223_i_3_B,223_i,3,B,3_B,34,0.419693662
223_i_3_C,223_i,3,C,3_C,28,0.340979638
223_i_3_D,223_i,3,D,3_D,60,0.821563446
223_i_3_E,223_i,3,E,3_E,62,0.859323525
223_i_4_A,223_i,4,A,4_A,50,0.651073627
223_i_4_B,223_i,4,B,4_B,22,0.265091872
223_i_4_C,223_i,4,C,4_C,20,0.240291904
223_i_4_D,223_i,4,D,4_D,62,0.859323525
223_i_4_E,223_i,4,E,4_E,60,0.821563446
223_i_5_A,223_i,5,A,5_A,70,1.027981402
223_i_5_B,223_i,5,B,5_B,18,0.215697804
223_i_5_C,223_i,5,C,5_C,20,0.240291904
223_i_5_D,223_i,5,D,5_D,64,0.89863719
223_i_5_E,223_i,5,E,5_E,66,0.939694654
229_i_1_A,229_i,1,A,1_A,86,1.532416977
229_i_1_B,229_i,1,B,1_B,40,0.50195963
229_i_1_C,229_i,1,C,1_C,42,0.530447043
229_i_1_D,229_i,1,D,1_D,72,1.075421434
229_i_1_E,229_i,1,E,1_E,78,1.238605308
229_i_2_A,229_i,2,A,2_A,82,1.370652975
229_i_2_B,229_i,2,B,2_B,82,1.370652975
229_i_2_C,229_i,2,C,2_C,46,0.589238334
229_i_2_D,229_i,2,D,2_D,50,0.650844341
229_i_2_E,229_i,2,E,2_E,82,1.370652975
229_i_3_A,229_i,3,A,3_A,82,1.370652975
229_i_3_B,229_i,3,B,3_B,44,0.559521771
229_i_3_C,229_i,3,C,3_C,50,0.650844341
229_i_3_D,229_i,3,D,3_D,76,1.180363548
229_i_3_E,229_i,3,E,3_E,76,1.180363548
229_i_4_A,229_i,4,A,4_A,86,1.532416977
229_i_4_B,229_i,4,B,4_B,40,0.50195963
229_i_4_C,229_i,4,C,4_C,48,0.619656928
229_i_4_D,229_i,4,D,4_D,84,1.446905122
229_i_4_E,229_i,4,E,4_E,82,1.370652975
229_i_5_A,229_i,5,A,5_A,78,1.238605308
229_i_5_B,229_i,5,B,5_B,42,0.530447043
229_i_5_C,229_i,5,C,5_C,44,0.559521771
229_i_5_D,229_i,5,D,5_D,76,1.180363548
229_i_5_E,229_i,5,E,5_E,80,1.301688683
229_vi_1_A,229_vi,1,A,1_A,82,1.370652975
229_vi_1_B,229_vi,1,B,1_B,44,0.559521771
229_vi_1_C,229_vi,1,C,1_C,44,0.559521771
229_vi_1_D,229_vi,1,D,1_D,76,1.180363548
229_vi_1_E,229_vi,1,E,1_E,76,1.180363548
229_vi_2_A,229_vi,2,A,2_A,80,1.301688683
229_vi_2_B,229_vi,2,B,2_B,80,1.301688683
229_vi_2_C,229_vi,2,C,2_C,40,0.50195963
229_vi_2_D,229_vi,2,D,2_D,48,0.619656928
229_vi_2_E,229_vi,2,E,2_E,80,1.301688683
229_vi_3_A,229_vi,3,A,3_A,82,1.370652975
229_vi_3_B,229_vi,3,B,3_B,46,0.589238334
229_vi_3_C,229_vi,3,C,3_C,54,0.715832618
229_vi_3_D,229_vi,3,D,3_D,78,1.238605308
229_vi_3_E,229_vi,3,E,3_E,74,1.126173688
229_vi_4_A,229_vi,4,A,4_A,84,1.446905122
229_vi_4_B,229_vi,4,B,4_B,38,0.474009916
229_vi_4_C,229_vi,4,C,4_C,48,0.619656928
229_vi_4_D,229_vi,4,D,4_D,84,1.446905122
229_vi_4_E,229_vi,4,E,4_E,82,1.370652975
